#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:35792865	(2022) An integrated atlas of human placental development delineates essential regulators of trophoblast stem cells.	10	74	1.4	1.31	1.05e-05	9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000265162,9606.ENSP00000345681,9606.ENSP00000357392,9606.ENSP00000360269,9606.ENSP00000362817,9606.ENSP00000368632,9606.ENSP00000496870	NANOG,GCM1,POU5F1,ENPEP,GATA2,EFNA1,TACSTD2,FABP3,GATA3,LRP2
PMID:31596842	(2019) Single-cell RNA sequencing reveals regulatory mechanism for trophoblast cell-fate divergence in human peri-implantation conceptuses.	9	52	1.51	1.31	1.37e-05	9606.ENSP00000212355,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000342385,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000368632,9606.ENSP00000442788,9606.ENSP00000449404	TGFBR3,NANOG,POU5F1,PTGES,GATA2,KRT19,GATA3,TET2,KRT8
PMID:38253551	(2024) Self-renewing human naive pluripotent stem cells dedifferentiate in 3D culture and form blastoids spontaneously.	9	53	1.5	1.3	1.47e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000359415,9606.ENSP00000368632,9606.ENSP00000442788,9606.ENSP00000449404	FGF4,NANOG,POU5F1,GATA2,KRT19,KHDC1L,GATA3,TET2,KRT8
PMID:32968278	(2020) Initiation of a conserved trophectoderm program in human, cow and mouse embryos.	8	33	1.66	1.34	1.47e-05	9606.ENSP00000004531,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000308122,9606.ENSP00000342385,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000409544	SLC7A2,NANOG,POU5F1,ATP6V0A4,PTGES,GATA2,GATA3,CLDN4
PMID:21750961	(2012) Dissecting the first transcriptional divergence during human embryonic development.	9	53	1.5	1.3	1.47e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000435534,9606.ENSP00000498246	FGF4,NANOG,GCM1,POU5F1,GATA2,GATA3,LAMA1,CCKBR,ABCG2
PMID:36989113	(2023) Polarity inversion reorganizes the stem cell compartment of the trophoblast lineage.	7	20	1.82	1.31	2.50e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000264187,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000449404	FGF4,NANOG,POU5F1,NID1,PODXL,GATA3,KRT8
PMID:35947672	(2022) Primary specification of blastocyst trophectoderm by scRNA-seq: New insights into embryo implantation.	10	86	1.34	1.2	2.50e-05	9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000297258,9606.ENSP00000320378,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000368664,9606.ENSP00000389870,9606.ENSP00000451040	NANOG,GCM1,POU5F1,FABP5,SLC7A8,GATA2,GATA3,RGCC,DLX3,PGF
PMID:33957081	(2021) Naive stem cell blastocyst model captures human embryo lineage segregation.	7	20	1.82	1.31	2.50e-05	9606.ENSP00000014914,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000345681,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000402152	GPRC5A,NANOG,POU5F1,GATA2,PODXL,GATA3,SLC12A3
PMID:37342220	(2023) Tissue-specific cancer stemprogenitor cells: Therapeutic implications.	9	60	1.45	1.22	2.73e-05	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000264187,9606.ENSP00000355124,9606.ENSP00000360269,9606.ENSP00000368632,9606.ENSP00000378517,9606.ENSP00000449404,9606.ENSP00000498246	NANOG,POU5F1,NID1,KRT19,TACSTD2,GATA3,SPP1,KRT8,ABCG2
PMID:34761233	(2021) Optimized protocol for naive human pluripotent stem cell-derived trophoblast induction.	7	22	1.78	1.26	3.48e-05	9606.ENSP00000229307,9606.ENSP00000265162,9606.ENSP00000355124,9606.ENSP00000360269,9606.ENSP00000368632,9606.ENSP00000402152,9606.ENSP00000487363	NANOG,ENPEP,KRT19,TACSTD2,GATA3,SLC12A3,HAVCR1
PMID:36270280	(2022) Human primed and naive PSCs are both able to differentiate into trophoblast stem cells.	9	63	1.43	1.19	3.61e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000342385,9606.ENSP00000345681,9606.ENSP00000359415,9606.ENSP00000364683,9606.ENSP00000368632	FGF4,NANOG,GCM1,POU5F1,PTGES,GATA2,KHDC1L,BAMBI,GATA3
PMID:34211975	(2021) Omics Approaches to Study Formation and Function of Human Placental Syncytiotrophoblast.	12	163	1.14	1.09	3.61e-05	9606.ENSP00000252486,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000265162,9606.ENSP00000345681,9606.ENSP00000352208,9606.ENSP00000356030,9606.ENSP00000368632,9606.ENSP00000376197,9606.ENSP00000389870,9606.ENSP00000444408,9606.ENSP00000451040	APOE,GCM1,POU5F1,ENPEP,GATA2,MYOF,CD55,GATA3,TFRC,DLX3,SLC1A5,PGF
PMID:35594858	(2022) Derivation of functional trophoblast stem cells from primed human pluripotent stem cells.	8	41	1.56	1.21	3.93e-05	9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000265162,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000360269,9606.ENSP00000368632	NANOG,GCM1,POU5F1,ENPEP,GATA2,KRT19,TACSTD2,GATA3
PMID:35729116	(2022) NANOG initiates epiblast fate through the coordination of pluripotency genes expression.	8	41	1.56	1.21	3.93e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000265162,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000360269,9606.ENSP00000498246	FGF4,NANOG,POU5F1,ENPEP,TDGF1,GATA2,TACSTD2,ABCG2
PMID:34212020	(2021) Lineage Differentiation Markers as a Proxy for Embryo Viability in Farm Ungulates.	7	23	1.76	1.25	3.93e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000449404	FGF4,NANOG,POU5F1,TDGF1,GATA2,GATA3,KRT8
PMID:26293300	(2015) Defining the three cell lineages of the human blastocyst by single-cell RNA-seq.	9	65	1.41	1.18	3.93e-05	9606.ENSP00000168712,9606.ENSP00000212355,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000364683,9606.ENSP00000368632,9606.ENSP00000449404	FGF4,TGFBR3,NANOG,POU5F1,TDGF1,GATA2,BAMBI,GATA3,KRT8
PMID:22844522	(2012) Dental pulp stem cells differentiation reveals new insights in Oct4A dynamics.	9	67	1.4	1.15	4.69e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000300060,9606.ENSP00000311997,9606.ENSP00000355124,9606.ENSP00000378517,9606.ENSP00000449404,9606.ENSP00000498246	FGF4,NANOG,POU5F1,ANPEP,NEFH,KRT19,SPP1,KRT8,ABCG2
PMID:29078328	(2017) GATA23-TFAP2AC transcription factor network couples human pluripotent stem cell differentiation to trophectoderm with repression of pluripotency.	9	68	1.39	1.14	5.10e-05	9606.ENSP00000217961,9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000300060,9606.ENSP00000345681,9606.ENSP00000357392,9606.ENSP00000368632,9606.ENSP00000389870	STS,NANOG,GCM1,POU5F1,ANPEP,GATA2,EFNA1,GATA3,DLX3
PMID:31049600	(2019) Human placenta and trophoblast development: key molecular mechanisms and model systems.	9	69	1.39	1.13	5.54e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000389870,9606.ENSP00000444408,9606.ENSP00000498246	FGF4,NANOG,GCM1,POU5F1,GATA2,GATA3,DLX3,SLC1A5,ABCG2
PMID:35877048	(2022) The role of BMP4 signaling in trophoblast emergence from pluripotency.	9	71	1.38	1.11	6.75e-05	9606.ENSP00000168712,9606.ENSP00000212355,9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000345681,9606.ENSP00000364683,9606.ENSP00000368632,9606.ENSP00000389870	FGF4,TGFBR3,NANOG,GCM1,POU5F1,GATA2,BAMBI,GATA3,DLX3
PMID:34548496	(2021) Reconstructing aspects of human embryogenesis with pluripotent stem cells.	8	46	1.51	1.14	6.75e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000449404	FGF4,NANOG,POU5F1,TDGF1,GATA2,PODXL,GATA3,KRT8
PMID:34856602	(2022) Human blastoids model blastocyst development and implantation.	10	106	1.25	1.04	9.14e-05	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000297991,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000360269,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000435233	NANOG,POU5F1,AQP3,GATA2,KRT19,TACSTD2,PODXL,GATA3,LAMA1,TEAD1
PMID:32814901	(2020) A single-cell transcriptome atlas of marsupial embryogenesis and X inactivation.	7	28	1.67	1.14	9.14e-05	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000297991,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000458879	FGF4,NANOG,POU5F1,AQP3,GATA2,GATA3,ZSCAN10
PMID:35657505	(2022) Transcription factor networks in trophoblast development.	9	77	1.34	1.04	0.00012	9606.ENSP00000168712,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000268053,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000389870,9606.ENSP00000444408,9606.ENSP00000451040	FGF4,GCM1,POU5F1,CYP11A1,GATA2,GATA3,DLX3,SLC1A5,PGF
PMID:29622030	(2018) Mapping human pluripotent stem cell differentiation pathways using high throughput single-cell RNA-sequencing.	10	110	1.23	1.01	0.00012	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000279488,9606.ENSP00000296145,9606.ENSP00000317257,9606.ENSP00000341170,9606.ENSP00000345681,9606.ENSP00000367817,9606.ENSP00000409544	FGF4,NANOG,POU5F1,DUSP6,TDGF1,CPNE1,PTN,GATA2,PODXL,CLDN4
PMID:28953884	(2017) Genome editing reveals a role for OCT4 in human embryogenesis.	7	30	1.64	1.1	0.00012	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000389870	FGF4,NANOG,POU5F1,TDGF1,GATA2,GATA3,DLX3
PMID:23378937	(2012) Identifying Biomarkers and Drug Targets Using Systems Biology Approaches for Pancreatic Cancer.	7	30	1.64	1.1	0.00012	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000300060,9606.ENSP00000300093,9606.ENSP00000364976,9606.ENSP00000378517,9606.ENSP00000449404	NANOG,POU5F1,ANPEP,PLK1,CKS2,SPP1,KRT8
PMID:20973834	(2010) Derivation, characterization and differentiation of a new human embryonic stem cell line from a Chinese hatched blastocyst assisted by a non-contact laser system.	6	15	1.88	1.12	0.00013	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000276603,9606.ENSP00000296145,9606.ENSP00000498246	FGF4,NANOG,POU5F1,TERF1,TDGF1,ABCG2
PMID:34155611	(2021) Stress Decreases Host Viral Resistance and Increases Covid Susceptibility in Embryonic Stem Cells.	10	114	1.22	0.98	0.00015	9606.ENSP00000075120,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000265162,9606.ENSP00000279488,9606.ENSP00000300060,9606.ENSP00000367817,9606.ENSP00000374309,9606.ENSP00000449404,9606.ENSP00000487363	SLC2A3,NANOG,POU5F1,ENPEP,DUSP6,ANPEP,PODXL,LAMA1,KRT8,HAVCR1
PMID:35413222	(2022) Endothelin A receptor antagonist attenuated renal iron accumulation in iron overload heme oxygenase-1 knockout mice.	6	16	1.85	1.08	0.00017	9606.ENSP00000216117,9606.ENSP00000273550,9606.ENSP00000276603,9606.ENSP00000376197,9606.ENSP00000451040,9606.ENSP00000496870	HMOX1,FTH1,TERF1,TFRC,PGF,LRP2
PMID:37266451	(2023) Establishment of the fetal-maternal interface: developmental events in human implantation and placentation.	9	84	1.3	0.98	0.00019	9606.ENSP00000168712,9606.ENSP00000216117,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000341170,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000436607,9606.ENSP00000451040	FGF4,HMOX1,NANOG,POU5F1,PTN,GATA2,GATA3,ADM,PGF
PMID:35767604	(2022) Profiling of mature-stage human breast milk cells identifies six unique lactocyte subpopulations.	8	56	1.43	1.01	0.00020	9606.ENSP00000168712,9606.ENSP00000212355,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000273550,9606.ENSP00000356030,9606.ENSP00000367817,9606.ENSP00000409544	FGF4,TGFBR3,NANOG,POU5F1,FTH1,CD55,PODXL,CLDN4
PMID:34463252	(2021) TGFbeta signalling is required to maintain pluripotency of human naive pluripotent stem cells.	9	85	1.3	0.98	0.00020	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000279488,9606.ENSP00000296145,9606.ENSP00000297258,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000368632,9606.ENSP00000449404	NANOG,POU5F1,DUSP6,TDGF1,FABP5,GATA2,KRT19,GATA3,KRT8
PMID:26431182	(2015) Single Cell RNA-Sequencing of Pluripotent States Unlocks Modular Transcriptional Variation.	7	34	1.59	1.02	0.00022	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000364976,9606.ENSP00000368632,9606.ENSP00000442788,9606.ENSP00000449404	FGF4,NANOG,POU5F1,CKS2,GATA3,TET2,KRT8
PMID:30635059	(2019) GMP-compatible and xeno-free cultivation of mesenchymal progenitors derived from human-induced pluripotent stem cells.	8	58	1.41	0.98	0.00024	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000252486,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000300060,9606.ENSP00000345681,9606.ENSP00000368632	FGF4,NANOG,APOE,POU5F1,TDGF1,ANPEP,GATA2,GATA3
PMID:37371048	(2023) scRNA-Seq of Cultured Human Amniotic Fluid from Fetuses with Spina Bifida Reveals the Origin and Heterogeneity of the Cellular Content.	9	89	1.28	0.94	0.00028	9606.ENSP00000229307,9606.ENSP00000244537,9606.ENSP00000252486,9606.ENSP00000259915,9606.ENSP00000355124,9606.ENSP00000360269,9606.ENSP00000368632,9606.ENSP00000377508,9606.ENSP00000449404	NANOG,H4C6,APOE,POU5F1,KRT19,TACSTD2,GATA3,JUP,KRT8
PMID:35741051	(2022) Stem Cell-Based Trophoblast Models to Unravel the Genetic Causes of Human Miscarriages.	8	60	1.4	0.96	0.00029	9606.ENSP00000004531,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000345681,9606.ENSP00000360269,9606.ENSP00000368632,9606.ENSP00000409544,9606.ENSP00000451040	SLC7A2,GCM1,POU5F1,GATA2,TACSTD2,GATA3,CLDN4,PGF
PMID:29361568	(2018) Integrated analysis of single-cell embryo data yields a unified transcriptome signature for the human pre-implantation epiblast.	8	61	1.39	0.95	0.00032	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000449404	FGF4,NANOG,POU5F1,TDGF1,GATA2,GATA3,LAMA1,KRT8
PMID:37333292	(2023) In Vitro Culture Alters Cell Lineage Composition and Cellular Metabolism of Bovine Blastocyst.	7	38	1.54	0.95	0.00039	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000449404	FGF4,NANOG,POU5F1,TDGF1,GATA2,GATA3,KRT8
PMID:28814615	(2017) Single-cell gene expression of the bovine blastocyst.	9	94	1.25	0.9	0.00040	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000268053,9606.ENSP00000345681,9606.ENSP00000357392,9606.ENSP00000368632,9606.ENSP00000442788,9606.ENSP00000449404	FGF4,NANOG,POU5F1,CYP11A1,GATA2,EFNA1,GATA3,TET2,KRT8
PMID:32370214	(2020) A PIANO (Proper, Insufficient, Aberrant, and NO Reprogramming) Response to the Yamanaka Factors in the Initial Stages of Human iPSC Reprogramming.	8	65	1.36	0.9	0.00048	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000273550,9606.ENSP00000276603,9606.ENSP00000296145,9606.ENSP00000361383,9606.ENSP00000367817,9606.ENSP00000458879	NANOG,POU5F1,FTH1,TERF1,TDGF1,AIF1L,PODXL,ZSCAN10
PMID:34283069	(2021) Changes in Stem Cell Regulation and Epithelial Organisation during Carcinogenesis and Disease Progression in Gynaecological Malignancies.	7	40	1.52	0.92	0.00050	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000355124,9606.ENSP00000356030,9606.ENSP00000449404,9606.ENSP00000498246	FGF4,NANOG,POU5F1,KRT19,CD55,KRT8,ABCG2
PMID:32111619	(2020) PAX1 is essential for development and function of the human thymus.	7	40	1.52	0.92	0.00050	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000355124,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000392028,9606.ENSP00000449404	NANOG,POU5F1,KRT19,GATA3,LAMA1,CHD7,KRT8
PMID:38233381	(2024) VGLL1 cooperates with TEAD4 to control human trophectoderm lineage specification.	7	41	1.51	0.9	0.00056	9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000265162,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000435233	NANOG,GCM1,POU5F1,ENPEP,GATA2,GATA3,TEAD1
PMID:25722368	(2015) SC3-seq: a method for highly parallel and quantitative measurement of single-cell gene expression.	7	42	1.5	0.89	0.00064	9606.ENSP00000075120,9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000374309	SLC2A3,FGF4,NANOG,POU5F1,TDGF1,GATA2,LAMA1
PMID:35697783	(2022) Integrated multi-omics reveal polycomb repressive complex 2 restricts human trophoblast induction.	10	142	1.12	0.8	0.00073	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000279488,9606.ENSP00000282388,9606.ENSP00000297991,9606.ENSP00000341170,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000449404	FGF4,NANOG,POU5F1,DUSP6,ZFP36L2,AQP3,PTN,GATA2,GATA3,KRT8
PMID:32316221	(2020) Establishment of an in Vitro Human Blood-Brain Barrier Model Derived from Induced Pluripotent Stem Cells and Comparison to a Porcine Cell-Based System.	7	43	1.48	0.87	0.00073	9606.ENSP00000075120,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000376197,9606.ENSP00000409544,9606.ENSP00000496870,9606.ENSP00000498246	SLC2A3,NANOG,POU5F1,TFRC,CLDN4,LRP2,ABCG2
PMID:35637409	(2022) Polycomb repressive complex 2 shields naive human pluripotent cells from trophectoderm differentiation.	8	71	1.33	0.84	0.00080	9606.ENSP00000229307,9606.ENSP00000265162,9606.ENSP00000279488,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000368632,9606.ENSP00000409544,9606.ENSP00000498246	NANOG,ENPEP,DUSP6,GATA2,KRT19,GATA3,CLDN4,ABCG2
PMID:35993866	(2022) A pendulum of induction between the epiblast and extra-embryonic endoderm supports post-implantation progression.	8	72	1.32	0.83	0.00087	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000252486,9606.ENSP00000259915,9606.ENSP00000264187,9606.ENSP00000296145,9606.ENSP00000367817,9606.ENSP00000374309	FGF4,NANOG,APOE,POU5F1,NID1,TDGF1,PODXL,LAMA1
PMID:33891867	(2021) Machine learning-assisted high-content analysis of pluripotent stem cell-derived embryos in vitro.	6	24	1.67	0.87	0.00088	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000367817,9606.ENSP00000449404	NANOG,POU5F1,TDGF1,GATA2,PODXL,KRT8
PMID:37796037	(2023) Mapping oto-pharyngeal development in a human inner ear organoid model.	11	192	1.03	0.76	0.00090	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000252486,9606.ENSP00000259915,9606.ENSP00000276603,9606.ENSP00000279488,9606.ENSP00000311997,9606.ENSP00000355124,9606.ENSP00000364683,9606.ENSP00000389870,9606.ENSP00000449404	FGF4,NANOG,APOE,POU5F1,TERF1,DUSP6,NEFH,KRT19,BAMBI,DLX3,KRT8
PMID:38136274	(2023) Unleashing the Power of Yes-Associated Protein in Ferroptosis and Drug Resistance in Breast Cancer, with a Special Focus on Therapeutic Strategies.	9	108	1.19	0.79	0.00099	9606.ENSP00000075120,9606.ENSP00000216117,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000273550,9606.ENSP00000316905,9606.ENSP00000376197,9606.ENSP00000435233,9606.ENSP00000444408	SLC2A3,HMOX1,NANOG,POU5F1,FTH1,SFXN1,TFRC,TEAD1,SLC1A5
PMID:33891866	(2021) Reprogramming epiblast stem cells into pre-implantation blastocyst cell-like cells.	7	46	1.46	0.83	0.00099	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000449404	NANOG,POU5F1,TDGF1,GATA2,GATA3,LAMA1,KRT8
PMID:32635405	(2020) Uptake of Cerium Dioxide Nanoparticles and Impact on Viability, Differentiation and Functions of Primary Trophoblast Cells from Human Placenta.	6	25	1.65	0.85	0.00099	9606.ENSP00000216117,9606.ENSP00000217961,9606.ENSP00000259803,9606.ENSP00000268053,9606.ENSP00000444408,9606.ENSP00000451040	HMOX1,STS,GCM1,CYP11A1,SLC1A5,PGF
