gene,dis,rank,Ensembl
MAP4,6.86E-07,109,ENSG00000047849
PTBP1,6.86E-07,110,ENSG00000011304
NCAPG,6.85E-07,111,ENSG00000109805
LDHA,6.84E-07,112,ENSG00000134333
MALAT1,6.81E-07,113,ENSG00000251562
RPL36,6.80E-07,114,ENSG00000130255
PKM,6.79E-07,115,ENSG00000067225
TAGLN2,6.79E-07,116,ENSG00000158710
LIN28A,6.79E-07,117,ENSG00000131914
CCT4,6.76E-07,118,ENSG00000115484
RACK1,6.76E-07,119,ENSG00000204628
S100A10,6.75E-07,120,ENSG00000197747
HNRNPC,6.72E-07,121,ENSG00000092199
FKBP4,6.72E-07,122,ENSG00000004478
MARS,6.71E-07,123,ENSG00000166986
HSPD1,6.71E-07,124,ENSG00000144381
TXN,6.70E-07,125,ENSG00000136810
TUBB,6.65E-07,126,ENSG00000196230
CLDN10,6.65E-07,127,ENSG00000134873
H2AFZ,6.63E-07,128,ENSG00000164032
RPS6,6.62E-07,129,ENSG00000137154
CLDN4,6.62E-07,130,ENSG00000189143
EIF3E,6.62E-07,131,ENSG00000104408
SRSF7,6.61E-07,132,ENSG00000115875
CTSB,6.60E-07,133,ENSG00000164733
SFPQ,6.58E-07,134,ENSG00000116560
SNRPB,6.58E-07,135,ENSG00000125835
MT-ND3,6.58E-07,136,ENSG00000198840
SRM,6.56E-07,137,ENSG00000116649
CNBP,6.55E-07,138,ENSG00000169714
PFN1,6.55E-07,139,ENSG00000108518
TPST2,6.52E-07,140,ENSG00000128294
COX7B,6.49E-07,141,ENSG00000131174
MT-ATP8,6.48E-07,142,ENSG00000228253
CCT2,6.48E-07,143,ENSG00000166226
MATR3,6.47E-07,144,ENSG00000015479
GJA1,6.47E-07,145,ENSG00000152661
PAICS,6.46E-07,146,ENSG00000128050
COX7C,6.41E-07,147,ENSG00000127184
TALDO1,6.41E-07,148,ENSG00000177156
ARF1,6.41E-07,149,ENSG00000143761
RPL5,6.41E-07,150,ENSG00000122406
SAP30BP,6.39E-07,151,ENSG00000161526
MT-ND1,6.38E-07,152,ENSG00000198888
MCM4,6.38E-07,153,ENSG00000104738
RCC2,6.37E-07,154,ENSG00000179051
BASP1,6.36E-07,155,ENSG00000176788
LRPPRC,6.34E-07,156,ENSG00000138095
TUBA1C,6.34E-07,157,ENSG00000167553
PSMD11,6.34E-07,158,ENSG00000108671
LAMA1,6.29E-07,159,ENSG00000101680
NPM1,6.29E-07,160,ENSG00000181163
MCM7,6.29E-07,161,ENSG00000166508
USP10,6.26E-07,162,ENSG00000103194
RPS3,6.26E-07,163,ENSG00000149273
OAZ1,6.24E-07,164,ENSG00000104904
CCT6A,6.23E-07,165,ENSG00000146731
DDX5,6.18E-07,166,ENSG00000108654
ANXA2,6.18E-07,167,ENSG00000182718
ARMT1,6.15E-07,168,ENSG00000146476
GPX2,6.14E-07,169,ENSG00000176153
TARDBP,6.12E-07,170,ENSG00000120948
CTNND1,6.12E-07,171,ENSG00000198561
RDH11,6.11E-07,172,ENSG00000072042
ALPP,6.10E-07,173,ENSG00000163283
NOP58,6.10E-07,174,ENSG00000055044
EIF5,6.09E-07,175,ENSG00000100664
GLUL,6.07E-07,176,ENSG00000135821
TRIM28,6.06E-07,177,ENSG00000130726
CLTC,6.05E-07,178,ENSG00000141367
S100A16,6.05E-07,179,ENSG00000188643
SPARC,6.03E-07,180,ENSG00000113140
SLC2A3,6.01E-07,181,ENSG00000059804
ODC1,6.00E-07,182,ENSG00000115758
FDFT1,5.99E-07,183,ENSG00000079459
PAPOLA,5.99E-07,184,ENSG00000090060
XRCC5,5.98E-07,185,ENSG00000079246
PDCL3,5.98E-07,186,ENSG00000115539
PDHA1,5.98E-07,187,ENSG00000131828
RPS19,5.96E-07,188,ENSG00000105372
HNRNPU,5.95E-07,189,ENSG00000153187
FTL,5.94E-07,190,ENSG00000087086
COX5A,5.90E-07,191,ENSG00000178741
SNX6,5.89E-07,192,ENSG00000129515
DPPA3,5.89E-07,193,ENSG00000187569
PLS3,5.86E-07,194,ENSG00000102024
AK4,5.86E-07,195,ENSG00000162433
GDI2,5.85E-07,196,ENSG00000057608
PGK1,5.85E-07,197,ENSG00000102144
BTF3,5.82E-07,198,ENSG00000145741
SRSF3,5.81E-07,199,ENSG00000112081
UQCRC2,5.79E-07,200,ENSG00000140740
AP2A1,5.79E-07,201,ENSG00000196961
VBP1,5.79E-07,202,ENSG00000155959
RPL27,5.78E-07,203,ENSG00000131469
POLR2E,5.77E-07,204,ENSG00000099817
PPTC7,5.77E-07,205,ENSG00000196850
RPLP0,5.76E-07,206,ENSG00000089157
CHCHD2,5.75E-07,207,ENSG00000106153
YWHAZ,5.74E-07,208,ENSG00000164924
LMNA,5.73E-07,209,ENSG00000160789
IDI1,5.71E-07,210,ENSG00000067064
SLC25A6,5.71E-07,211,ENSG00000169100
MRPL18,5.69E-07,212,ENSG00000112110
BMP2,5.69E-07,213,ENSG00000125845
MT-RNR1,5.68E-07,214,ENSG00000211459
GPBP1L1,5.68E-07,215,ENSG00000159592
PHB2,5.67E-07,216,ENSG00000215021
POLDIP3,5.63E-07,217,ENSG00000100227
KPNA2,5.62E-07,218,ENSG00000182481
DOLPP1,5.62E-07,219,ENSG00000167130
PSMA7,5.60E-07,220,ENSG00000101182
RPL4,5.59E-07,221,ENSG00000174444
MDH2,5.59E-07,222,ENSG00000146701
RAB11A,5.59E-07,223,ENSG00000103769
PABPC1,5.58E-07,224,ENSG00000070756
2-Sep,5.58E-07,225,ENSG00000168385
ARPC1A,5.56E-07,226,ENSG00000241685
LRP2,5.54E-07,227,ENSG00000081479
NAA50,5.53E-07,228,ENSG00000121579
RPS13,5.52E-07,229,ENSG00000110700
ATP1B3,5.50E-07,230,ENSG00000069849
RPS4X,5.47E-07,231,ENSG00000198034
RPL13,5.47E-07,232,ENSG00000167526
STARD7,5.47E-07,233,ENSG00000084090
MASTL,5.46E-07,234,ENSG00000120539
MOCS1,5.46E-07,235,ENSG00000124615
ARPC2,5.46E-07,236,ENSG00000163466
TARS2,5.45E-07,237,ENSG00000143374
L1TD1,5.44E-07,238,ENSG00000240563
CCT3,5.44E-07,239,ENSG00000163468
HAVCR1,5.43E-07,240,ENSG00000113249
PTGES3,5.42E-07,241,ENSG00000110958
TPM4,5.42E-07,242,ENSG00000167460
BCAT1,5.41E-07,243,ENSG00000060982
CCT7,5.41E-07,244,ENSG00000135624
SEPHS2,5.40E-07,245,ENSG00000179918
NONO,5.39E-07,246,ENSG00000147140
DDX3X,5.39E-07,247,ENSG00000215301
YARS,5.37E-07,248,ENSG00000134684
SRRM2,5.36E-07,249,ENSG00000167978
COX4I1,5.35E-07,250,ENSG00000131143
CTSL,5.33E-07,251,ENSG00000135047
TPT1,5.32E-07,252,ENSG00000133112
RPS24,5.31E-07,253,ENSG00000138326
WSB1,5.31E-07,254,ENSG00000109046
,5.30E-07,255,ENSG00000005955
GDPD5,5.29E-07,256,ENSG00000158555
TMCO1,5.27E-07,257,ENSG00000143183
NFE2L3,5.26E-07,258,ENSG00000050344
RPL35A,5.24E-07,259,ENSG00000182899
TAF1C,5.23E-07,260,ENSG00000103168
PCNA,5.23E-07,261,ENSG00000132646
CNDP2,5.22E-07,262,ENSG00000133313
SERPINB9,5.22E-07,263,ENSG00000170542
RPL19,5.21E-07,264,ENSG00000108298
SLC7A2,5.20E-07,265,ENSG00000003989
SPINT2,5.20E-07,266,ENSG00000167642
ATP6V0B,5.18E-07,267,ENSG00000117410
EIF3K,5.18E-07,268,ENSG00000178982
UQCR10,5.17E-07,269,ENSG00000184076
TUBGCP6,5.17E-07,270,ENSG00000128159
KMT2C,5.17E-07,271,ENSG00000055609
GRWD1,5.16E-07,272,ENSG00000105447
CALU,5.14E-07,273,ENSG00000128595
TMPO,5.14E-07,274,ENSG00000120802
PRR13,5.14E-07,275,ENSG00000205352
,5.13E-07,276,ENSG00000138293
TRA2B,5.12E-07,277,ENSG00000136527
MESDC2,5.11E-07,278,ENSG00000117899
PPP4C,5.10E-07,279,ENSG00000149923
SLIRP,5.09E-07,280,ENSG00000119705
RAB15,5.09E-07,281,ENSG00000139998
UBE2R2,5.09E-07,282,ENSG00000107341
SOAT1,5.09E-07,283,ENSG00000057252
HMGCR,5.08E-07,284,ENSG00000113161
NARS,5.08E-07,285,ENSG00000134440
GPI,5.08E-07,286,ENSG00000105220
RPS9,5.07E-07,287,ENSG00000170889
SPTSSA,5.07E-07,288,ENSG00000165389
REST,5.06E-07,289,ENSG00000084093
PDIA3,5.06E-07,290,ENSG00000167004
HNRNPAB,5.05E-07,291,ENSG00000197451
PARP1,5.05E-07,292,ENSG00000143799
ALPPL2,5.03E-07,293,ENSG00000163286
ISYNA1,5.03E-07,294,ENSG00000105655
SEC61A1,5.02E-07,295,ENSG00000058262
PRDM1,5.02E-07,296,ENSG00000057657
OAT,5.01E-07,297,ENSG00000065154
CDKN1C,5.00E-07,298,ENSG00000129757
DCP2,4.97E-07,299,ENSG00000172795
BBS2,4.97E-07,300,ENSG00000125124
NASP,4.96E-07,301,ENSG00000132780
TBL3,4.95E-07,302,ENSG00000183751
GBA2,4.93E-07,303,ENSG00000070610
MYL12B,4.93E-07,304,ENSG00000118680
SET,4.92E-07,305,ENSG00000119335
UACA,4.91E-07,306,ENSG00000137831
RPL18,4.91E-07,307,ENSG00000063177
SLC7A8,4.91E-07,308,ENSG00000092068
PTGR1,4.91E-07,309,ENSG00000106853
SNX2,4.90E-07,310,ENSG00000205302
CSDE1,4.89E-07,311,ENSG00000009307
RPS20,4.89E-07,312,ENSG00000008988
ANXA5,4.88E-07,313,ENSG00000164111
BCL3,4.88E-07,314,ENSG00000069399
SSRP1,4.88E-07,315,ENSG00000149136
B3GAT3,4.87E-07,316,ENSG00000149541
CDH1,4.86E-07,317,ENSG00000039068
ATF4,4.86E-07,318,ENSG00000128272
11-Sep,4.84E-07,319,ENSG00000138758
SLC4A11,4.84E-07,320,ENSG00000088836
UGP2,4.83E-07,321,ENSG00000169764
GPRC5B,4.83E-07,322,ENSG00000167191
FABP3,4.82E-07,323,ENSG00000121769
APOE,4.80E-07,324,ENSG00000130203
JUP,4.76E-07,325,ENSG00000173801
ILF2,4.75E-07,326,ENSG00000143621
RPS5,4.75E-07,327,ENSG00000083845
RPLP2,4.74E-07,328,ENSG00000177600
TBRG4,4.74E-07,329,ENSG00000136270
SELENOW,4.74E-07,330,ENSG00000178980
PPP2R1A,4.73E-07,331,ENSG00000105568
TFRC,4.73E-07,332,ENSG00000072274
HN1,4.72E-07,333,ENSG00000189159
RPS8,4.72E-07,334,ENSG00000142937
ATG3,4.72E-07,335,ENSG00000144848
PSMB1,4.70E-07,336,ENSG00000008018
CYCS,4.70E-07,337,ENSG00000172115
,4.69E-07,338,ENSG00000205246
SCD,4.69E-07,339,ENSG00000099194
HMOX1,4.66E-07,340,ENSG00000100292
DPPA5,4.66E-07,341,ENSG00000203909
SLC7A5,4.65E-07,342,ENSG00000103257
METTL22,4.65E-07,343,ENSG00000067365
EGLN3,4.64E-07,344,ENSG00000129521
QARS,4.64E-07,345,ENSG00000172053
UBE2D3,4.64E-07,346,ENSG00000109332
SEC23B,4.62E-07,347,ENSG00000101310
RIT1,4.62E-07,348,ENSG00000143622
P4HB,4.61E-07,349,ENSG00000185624
MYH9,4.61E-07,350,ENSG00000100345
MICU3,4.61E-07,351,ENSG00000155970
SLC16A1,4.59E-07,352,ENSG00000155380
USF2,4.59E-07,353,ENSG00000105698
MRPL42,4.59E-07,354,ENSG00000198015
TIMM50,4.57E-07,355,ENSG00000105197
ADD3,4.57E-07,356,ENSG00000148700
TFCP2L1,4.57E-07,357,ENSG00000115112
UAP1L1,4.56E-07,358,ENSG00000197355
PHKG2,4.56E-07,359,ENSG00000156873
FGFR3,4.56E-07,360,ENSG00000068078
PRSS8,4.56E-07,361,ENSG00000052344
TARS,4.55E-07,362,ENSG00000113407
IPO5,4.55E-07,363,ENSG00000065150
ILF3,4.54E-07,364,ENSG00000129351
ATP5C1,4.53E-07,365,ENSG00000165629
YWHAH,4.53E-07,366,ENSG00000128245
,4.53E-07,367,ENSG00000209082
PFKP,4.52E-07,368,ENSG00000067057
PSMB6,4.52E-07,369,ENSG00000142507
LRRC41,4.51E-07,370,ENSG00000132128
UGCG,4.51E-07,371,ENSG00000148154
DDOST,4.50E-07,372,ENSG00000244038
SLC9A3R1,4.50E-07,373,ENSG00000109062
IGF2BP1,4.49E-07,374,ENSG00000159217
ANKDD1B,4.48E-07,375,ENSG00000189045
EIF4A2,4.47E-07,376,ENSG00000156976
PTGES,4.47E-07,377,ENSG00000148344
ZNF565,4.47E-07,378,ENSG00000196357
FGFR1,4.46E-07,379,ENSG00000077782
ZNF106,4.45E-07,380,ENSG00000103994
CDC20,4.45E-07,381,ENSG00000117399
PHF1,4.45E-07,382,ENSG00000112511
EIF3D,4.45E-07,383,ENSG00000100353
NAP1L4,4.44E-07,384,ENSG00000205531
IMPDH2,4.44E-07,385,ENSG00000178035
TOP2A,4.44E-07,386,ENSG00000131747
GATA3,4.43E-07,387,ENSG00000107485
PSMD2,4.43E-07,388,ENSG00000175166
PSMC3,4.43E-07,389,ENSG00000165916
CHD7,4.43E-07,390,ENSG00000171316
SNRPF,4.43E-07,391,ENSG00000139343
RPS27A,4.42E-07,392,ENSG00000143947
RNF4,4.40E-07,393,ENSG00000063978
HDLBP,4.39E-07,394,ENSG00000115677
EIF3B,4.39E-07,395,ENSG00000106263
PLEKHB2,4.38E-07,396,ENSG00000115762
AQP3,4.38E-07,397,ENSG00000165272
RPL10A,4.37E-07,398,ENSG00000198755
MAD2L1,4.37E-07,399,ENSG00000164109
COX6B1,4.37E-07,400,ENSG00000126267
GRHL1,4.37E-07,401,ENSG00000134317
ATG5,4.36E-07,402,ENSG00000057663
CTD-3193O13.11,4.36E-07,403,ENSG00000268119
UPP1,4.36E-07,404,ENSG00000183696
ENY2,4.36E-07,405,ENSG00000120533
AHSA1,4.36E-07,406,ENSG00000100591
RPA1,4.36E-07,407,ENSG00000132383
BTK,4.34E-07,408,ENSG00000010671
NOL9,4.34E-07,409,ENSG00000162408
MCL1,4.33E-07,410,ENSG00000143384
ATP6V1B1,4.33E-07,411,ENSG00000116039
KRT19,4.32E-07,412,ENSG00000171345
ZNF644,4.32E-07,413,ENSG00000122482
ERCC3,4.32E-07,414,ENSG00000163161
TCERG1,4.32E-07,415,ENSG00000113649
RPL32,4.32E-07,416,ENSG00000144713
CBS,4.32E-07,417,ENSG00000160200
PSMD1,4.31E-07,418,ENSG00000173692
RIPK4,4.30E-07,419,ENSG00000183421
LIN9,4.30E-07,420,ENSG00000183814
PTP4A1,4.30E-07,421,ENSG00000112245
GTF3C5,4.29E-07,422,ENSG00000148308
SERF2,4.29E-07,423,ENSG00000140264
CAPZA1,4.29E-07,424,ENSG00000116489
IQGAP2,4.28E-07,425,ENSG00000145703
TXNRD1,4.28E-07,426,ENSG00000198431
MRPL37,4.28E-07,427,ENSG00000116221
MSH6,4.28E-07,428,ENSG00000116062
CCT5,4.28E-07,429,ENSG00000150753
RAB1A,4.28E-07,430,ENSG00000138069
SLC11A2,4.28E-07,431,ENSG00000110911
SDCBP,4.28E-07,432,ENSG00000137575
LMAN1,4.27E-07,433,ENSG00000074695
VPS33A,4.27E-07,434,ENSG00000139719
MIIP,4.27E-07,435,ENSG00000116691
NTAN1,4.27E-07,436,ENSG00000157045
DLAT,4.26E-07,437,ENSG00000150768
EBP,4.26E-07,438,ENSG00000147155
OVOL2,4.25E-07,439,ENSG00000125850
TPR,4.25E-07,440,ENSG00000047410
UQCRQ,4.24E-07,441,ENSG00000164405
RPL35,4.23E-07,442,ENSG00000136942
GPX4,4.22E-07,443,ENSG00000167468
CCNB1,4.22E-07,444,ENSG00000134057
PSMB5,4.22E-07,445,ENSG00000100804
TIMM13,4.21E-07,446,ENSG00000099800
RIF1,4.21E-07,447,ENSG00000080345
SLC5A6,4.21E-07,448,ENSG00000138074
ATP5J,4.21E-07,449,ENSG00000154723
RBBP6,4.20E-07,450,ENSG00000122257
SLC25A39,4.20E-07,451,ENSG00000013306
SNX3,4.20E-07,452,ENSG00000112335
JUNB,4.20E-07,453,ENSG00000171223
TUFM,4.18E-07,454,ENSG00000178952
PSMA4,4.18E-07,455,ENSG00000041357
EDC4,4.18E-07,456,ENSG00000038358
CCAR1,4.17E-07,457,ENSG00000060339
RAN,4.17E-07,458,ENSG00000132341
SLC44A2,4.16E-07,459,ENSG00000129353
KIF5B,4.16E-07,460,ENSG00000170759
HSBP1,4.15E-07,461,ENSG00000230989
TMEM134,4.15E-07,462,ENSG00000172663
EIF4G1,4.14E-07,463,ENSG00000114867
RPS16,4.14E-07,464,ENSG00000105193
CLDN6,4.14E-07,465,ENSG00000184697
UBE2V2,4.13E-07,466,ENSG00000169139
DHCR24,4.13E-07,467,ENSG00000116133
AHNAK,4.13E-07,468,ENSG00000124942
CANX,4.12E-07,469,ENSG00000127022
TIMM8B,4.12E-07,470,ENSG00000150779
YWHAQ,4.12E-07,471,ENSG00000134308
ADAM10,4.11E-07,472,ENSG00000137845
SNX30,4.11E-07,473,ENSG00000148158
WDR1,4.10E-07,474,ENSG00000071127
RCC1,4.10E-07,475,ENSG00000180198
RILPL1,4.10E-07,476,ENSG00000188026
FLOT2,4.09E-07,477,ENSG00000132589
NLRP2,4.09E-07,478,ENSG00000022556
ATP5F1,4.09E-07,479,ENSG00000116459
SIRT5,4.09E-07,480,ENSG00000124523
PERP,4.09E-07,481,ENSG00000112378
TLK2,4.09E-07,482,ENSG00000146872
GART,4.08E-07,483,ENSG00000159131
GAS6,4.08E-07,484,ENSG00000183087
BBX,4.07E-07,485,ENSG00000114439
PDGFRA,4.07E-07,486,ENSG00000134853
SALL4,4.07E-07,487,ENSG00000101115
EIF4A3,4.06E-07,488,ENSG00000141543
ASRGL1,4.05E-07,489,ENSG00000162174
,4.05E-07,490,ENSG00000141140
RPL23,4.05E-07,491,ENSG00000125691
TDGF1,4.05E-07,492,ENSG00000241186
VARS,4.04E-07,493,ENSG00000204394
HSPE1,4.04E-07,494,ENSG00000115541
RBM47,4.04E-07,495,ENSG00000163694
QDPR,4.03E-07,496,ENSG00000151552
BCR,4.03E-07,497,ENSG00000186716
EEF2,4.03E-07,498,ENSG00000167658
ATP11A,4.03E-07,499,ENSG00000068650
NDUFA4,4.02E-07,500,ENSG00000189043
CAMKV,4.02E-07,501,ENSG00000164076
GPRC5A,4.02E-07,502,ENSG00000013588
UNC13B,4.01E-07,503,ENSG00000198722
CKB,4.00E-07,504,ENSG00000166165
IARS,4.00E-07,505,ENSG00000196305
EPRS,3.99E-07,506,ENSG00000136628
GNL3,3.99E-07,507,ENSG00000163938
CD55,3.98E-07,508,ENSG00000196352
RPS11,3.97E-07,509,ENSG00000142534
MYL12A,3.97E-07,510,ENSG00000101608
SDC4,3.97E-07,511,ENSG00000124145
CITED4,3.97E-07,512,ENSG00000179862
SFRP1,3.96E-07,513,ENSG00000104332
WDR5,3.96E-07,514,ENSG00000196363
AARS,3.95E-07,515,ENSG00000090861
MRPL51,3.95E-07,516,ENSG00000111639
RBMX,3.95E-07,517,ENSG00000147274
EXOC3L1,3.94E-07,518,ENSG00000179044
PHOSPHO1,3.93E-07,519,ENSG00000173868
PSMD7,3.93E-07,520,ENSG00000103035
ACTR2,3.93E-07,521,ENSG00000138071
WDR43,3.93E-07,522,ENSG00000163811
ERCC2,3.92E-07,523,ENSG00000104884
RBBP7,3.92E-07,524,ENSG00000102054
RPL11,3.92E-07,525,ENSG00000142676
NDUFB9,3.92E-07,526,ENSG00000147684
C11orf58,3.92E-07,527,ENSG00000110696
SSR2,3.91E-07,528,ENSG00000163479
EIF4EBP1,3.91E-07,529,ENSG00000187840
STIP1,3.90E-07,530,ENSG00000168439
LAMB1,3.90E-07,531,ENSG00000091136
DPPA4,3.89E-07,532,ENSG00000121570
HNRNPH1,3.89E-07,533,ENSG00000169045
MAP2K1,3.89E-07,534,ENSG00000169032
CRK,3.89E-07,535,ENSG00000167193
FLNB,3.89E-07,536,ENSG00000136068
AMOTL2,3.88E-07,537,ENSG00000114019
CCDC90B,3.88E-07,538,ENSG00000137500
TMSB4X,3.88E-07,539,ENSG00000205542
KDM5B,3.88E-07,540,ENSG00000117139
HIGD1A,3.88E-07,541,ENSG00000181061
IFITM3,3.88E-07,542,ENSG00000142089
ERH,3.87E-07,543,ENSG00000100632
COX7A2,3.87E-07,544,ENSG00000112695
TRIM14,3.87E-07,545,ENSG00000106785
ZSCAN32,3.85E-07,546,ENSG00000140987
NDUFAF4,3.85E-07,547,ENSG00000123545
KLHL18,3.83E-07,548,ENSG00000114648
PRDM14,3.82E-07,549,ENSG00000147596
GATA6,3.81E-07,550,ENSG00000141448
GOLPH3,3.81E-07,551,ENSG00000113384
MORC2,3.81E-07,552,ENSG00000133422
HDAC1,3.81E-07,553,ENSG00000116478
MCM5,3.80E-07,554,ENSG00000100297
MX1,3.80E-07,555,ENSG00000157601
E2F6,3.80E-07,556,ENSG00000169016
UQCRH,3.80E-07,557,ENSG00000173660
AP2M1,3.80E-07,558,ENSG00000161203
APLP2,3.79E-07,559,ENSG00000084234
LATS1,3.78E-07,560,ENSG00000131023
MAT2A,3.78E-07,561,ENSG00000168906
NDUFV1,3.78E-07,562,ENSG00000167792
SMC1A,3.78E-07,563,ENSG00000072501
NDUFA6,3.78E-07,564,ENSG00000184983
AHCY,3.78E-07,565,ENSG00000101444
SEM1,3.78E-07,566,ENSG00000127922
LAMC1,3.78E-07,567,ENSG00000135862
KLF5,3.77E-07,568,ENSG00000102554
SKP1,3.77E-07,569,ENSG00000113558
MTHFD2,3.76E-07,570,ENSG00000065911
PLK1,3.75E-07,571,ENSG00000166851
FASTKD2,3.74E-07,572,ENSG00000118246
RPLP1,3.73E-07,573,ENSG00000137818
RBM3,3.73E-07,574,ENSG00000102317
SMAD5,3.73E-07,575,ENSG00000113658
CAMKK2,3.73E-07,576,ENSG00000110931
ZNF700,3.72E-07,577,ENSG00000196757
PGD,3.72E-07,578,ENSG00000142657
COMMD6,3.71E-07,579,ENSG00000188243
RAB30,3.71E-07,580,ENSG00000137502
MRPS7,3.70E-07,581,ENSG00000125445
UVRAG,3.70E-07,582,ENSG00000198382
TET2,3.70E-07,583,ENSG00000168769
YTHDF2,3.69E-07,584,ENSG00000198492
TAX1BP1,3.69E-07,585,ENSG00000106052
VDAC1,3.69E-07,586,ENSG00000213585
JTB,3.69E-07,587,ENSG00000143543
ZDHHC12,3.69E-07,588,ENSG00000160446
